,movie_title,imdb_score,genres,director_name,plot_keywords,actors,movie_imdb_link,movie_titles
16,City of God ,8.7,Crime|Drama,FernandoMeirelles,coming of age|male frontal nudity|male nudity|photographer|slum,AliceBraga|SeuJorge|AlexandreRodrigues,http://www.imdb.com/title/tt0317248/?ref_=fn_tt_tt_1,City of God
17,Seven Samurai ,8.7,Action|Adventure|Drama,AkiraKurosawa,16th century|battle|japan|practice|samurai,TakashiShimura|MinoruChiaki|KamatariFujiwara,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,Seven Samurai
18,Star Wars: Episode IV - A New Hope ,8.7,Action|Adventure|Fantasy|Sci-Fi,GeorgeLucas,death star|empire|galactic war|princess|rebellion,HarrisonFord|PeterCushing|KennyBaker,http://www.imdb.com/title/tt0076759/?ref_=fn_tt_tt_1,Star Wars: Episode IV - A New Hope
19,Goodfellas ,8.7,Biography|Crime|Drama,MartinScorsese,betrayal|gangster|mafia|organized crime|robbery,RobertDeNiro|MikeStarr|PaulSorvino,http://www.imdb.com/title/tt0099685/?ref_=fn_tt_tt_1,Goodfellas
20,Queen of the Mountains ,8.7,Action|Biography|Drama|History,SadykSher-Niyaz,19th century|central asia|mother son relationship|ruler|russian empire,ElinaAbaiKyzy|AzizMuradillayev|MirlanAbdulayev,http://www.imdb.com/title/tt2640460/?ref_=fn_tt_tt_1,Queen of the Mountains
21,The Matrix ,8.7,Action|Sci-Fi,LanaWachowski,artificial reality|computer|matrix|questioning reality|simulated reality,KeanuReeves|MarcusChong|GloriaFoster,http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1,The Matrix
22,The Usual Suspects ,8.6,Crime|Drama|Mystery|Thriller,BryanSinger,criminal|dirty cop|flashback|limping|suspect,KevinSpacey|ChazzPalminteri|KevinPollak,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,The Usual Suspects
23,Spirited Away ,8.6,Adventure|Animation|Family|Fantasy,HayaoMiyazaki,anime|bathhouse|pig|spirit|work,BuntaSugawara|RyûnosukeKamiki|MiyuIrino,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,Spirited Away
24,Interstellar ,8.6,Adventure|Drama|Sci-Fi,ChristopherNolan,black hole|father daughter relationship|saving the world|space travel|wormhole,MatthewMcConaughey|AnneHathaway|MackenzieFoy,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,Interstellar
25,Saving Private Ryan ,8.6,Action|Drama|War,StevenSpielberg,army|invasion|killed in action|normandy|soldier,TomHanks|VinDiesel|MattDamon,http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1,Saving Private Ryan
26,Modern Times ,8.6,Comedy|Drama|Family,CharlesChaplin,actor director writer|invention|machine|music score composed by director|tramp,PauletteGoddard|StanleyBlystone|FredMalatesta,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,Modern Times
27,Once Upon a Time in the West ,8.6,Western,SergioLeone,gang|gun|harmonica|killing|woman in bathtub,ClaudiaCardinale|WoodyStrode|JackElam,http://www.imdb.com/title/tt0064116/?ref_=fn_tt_tt_1,Once Upon a Time in the West
28,American History X ,8.6,Crime|Drama,TonyKaye,curb stomping|neo nazi|prison|son dislikes mother's boyfriend|white supremacist,EthanSuplee|BeverlyD'Angelo|StacyKeach,http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1,American History X
29,It's a Wonderful Life ,8.6,Drama|Family|Fantasy|Romance,FrankCapra,angel|bank|guardian angel|second chance|small town life,DonnaReed|LionelBarrymore|ThomasMitchell,http://www.imdb.com/title/tt0038650/?ref_=fn_tt_tt_1,It's a Wonderful Life
30,The Silence of the Lambs ,8.6,Crime|Drama|Horror|Thriller,JonathanDemme,case file|fbi agent|psycho thriller|psychopath|serial killer,AnthonyHopkins|ScottGlenn|AnthonyHeald,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1,The Silence of the Lambs
31,Casablanca ,8.6,Drama|Romance|War,MichaelCurtiz,american expatriate|casablanca morocco|gestapo|police|visa,HumphreyBogart|ClaudeRains|ConradVeidt,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1,Casablanca
32,Se7en ,8.6,Crime|Drama|Mystery|Thriller,DavidFincher,detective|police partner|serial killer|serial murder|seven deadly sins,MorganFreeman|BradPitt|RegE.Cathey,http://www.imdb.com/title/tt0114369/?ref_=fn_tt_tt_1,Se7en
33,The Lion King ,8.5,Adventure|Animation|Drama|Family|Musical,RogerAllers,king|prince|scar|uncle|unnecessary guilt,MatthewBroderick|NathanLane|NiketaCalame,http://www.imdb.com/title/tt0110357/?ref_=fn_tt_tt_1,The Lion King
34,Apocalypse Now ,8.5,Drama|War,FrancisFordCoppola,army|green beret|insanity|jungle|vietnam,HarrisonFord|MarlonBrando|RobertDuvall,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,Apocalypse Now
35,Whiplash ,8.5,Drama|Music,DamienChazelle,conservatory|drummer|emotional abuse|music school|obsession,J.K.Simmons|MelissaBenoist|ChrisMulkey,http://www.imdb.com/title/tt2582802/?ref_=fn_tt_tt_1,Whiplash
36,Samsara ,8.5,Documentary|Music,RonFricke,hall of mirrors|mont saint michel france|palace of versailles|turkey the country|yellowstone national park,CollinAlfredoSt.Dic|BalineseTariLegongDancers|PutiSriCandraDewi,http://www.imdb.com/title/tt0770802/?ref_=fn_tt_tt_1,Samsara
37,Airlift ,8.5,Action|Drama|History|Thriller|War,RajaMenon,1990s|businessman|evacuation|historical fiction|kuwait,NimratKaur|SameerAliKhan|PurabKohli,http://www.imdb.com/title/tt4387040/?ref_=fn_tt_tt_1,Airlift
38,Memento ,8.5,Mystery|Thriller,ChristopherNolan,flashback|memory|murder|short term memory|telephone,CallumRennie|ThomasLennon|JorjaFox,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,Memento
39,The Departed ,8.5,Crime|Drama|Thriller,MartinScorsese,boston|mole|police|undercover|undercover cop,LeonardoDiCaprio|MattDamon|RayWinstone,http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1,The Departed
40,Terminator 2: Judgment Day ,8.5,Action|Sci-Fi,JamesCameron,future|liquid metal|multiple cameos|sexy woman|time travel,JoeMorton|JenetteGoldstein|S.EpathaMerkerson,http://www.imdb.com/title/tt0103064/?ref_=fn_tt_tt_1,Terminator 2: Judgment Day
41,Django Unchained ,8.5,Drama|Western,QuentinTarantino,dynamite|historically inaccurate|ku klux klan|n word|slavery,LeonardoDiCaprio|ChristophWaltz|AtoEssandoh,http://www.imdb.com/title/tt1853728/?ref_=fn_tt_tt_1,Django Unchained
42,The Pianist ,8.5,Biography|Drama|War,RomanPolanski,ghetto|holocaust|jewish|piano|warsaw ghetto,EmiliaFox|FrankFinlay|EdStoppard,http://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1,The Pianist
43,Raiders of the Lost Ark ,8.5,Action|Adventure,StevenSpielberg,archeological dig|archeologist|ark of the covenant|egypt|nazi,HarrisonFord|KarenAllen|WilliamHootkins,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,Raiders of the Lost Ark
44,Gladiator ,8.5,Action|Drama|Romance,RidleyScott,battlefield|blood|combat|gladiator|roman empire,DjimonHounsou|ConnieNielsen|OliverReed,http://www.imdb.com/title/tt0172495/?ref_=fn_tt_tt_1,Gladiator
45,Psycho ,8.5,Horror|Mystery|Thriller,AlfredHitchcock,money|motel|rain|shower|theft,JanetLeigh|VeraMiles|JohnGavin,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,Psycho
46,The Dark Knight Rises ,8.5,Action|Thriller,ChristopherNolan,deception|imprisonment|lawlessness|police officer|terrorist plot,TomHardy|ChristianBale|JosephGordon-Levitt,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,The Dark Knight Rises
47,Alien ,8.5,Horror|Sci-Fi,RidleyScott,alien|creature|future|outer space|spaceship,TomSkerritt|YaphetKotto|BolajiBadejo,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,Alien
48,The Lives of Others ,8.5,Drama|Thriller,FlorianHenckelvonDonnersmarck,east germany|police|secret police|stasi|writer,SebastianKoch|UlrichMühe|MartinaGedeck,http://www.imdb.com/title/tt0405094/?ref_=fn_tt_tt_1,The Lives of Others
49,Children of Heaven ,8.5,Drama|Family,MajidMajidi,class|gardening|race|school|shoe,BahareSeddiqi|AmirFarrokhHashemian|MohammadAmirNaji,http://www.imdb.com/title/tt0118849/?ref_=fn_tt_tt_1,Children of Heaven
50,The Green Mile ,8.5,Crime|Drama|Fantasy|Mystery,FrankDarabont,1930s|death row inmate|healing|prison guard|southern u.s.,TomHanks|JeffreyDeMunn|MichaelJeter,http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1,The Green Mile
51,Back to the Future ,8.5,Adventure|Comedy|Sci-Fi,RobertZemeckis,clock tower|delorean|future|time travel|time travel comedy,LeaThompson|ThomasF.Wilson|J.J.Cohen,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1,Back to the Future
52,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,8.5,Comedy,StanleyKubrick,bomber|doomsday|general|u.s. president|war room,GeorgeC.Scott|SlimPickens|KeenanWynn,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
53,The Prestige ,8.5,Drama|Mystery|Sci-Fi|Thriller,ChristopherNolan,illusion|magician|obsession|rivalry|secret,ChristianBale|HughJackman|ScarlettJohansson,http://www.imdb.com/title/tt0482571/?ref_=fn_tt_tt_1,The Prestige
54,Aliens ,8.4,Action|Adventure|Sci-Fi,JamesCameron,alien|human versus alien|monster|rescue mission|space marine,MichaelBiehn|CarrieHenn|JenetteGoldstein,http://www.imdb.com/title/tt0090605/?ref_=fn_tt_tt_1,Aliens
55,Baahubali: The Beginning ,8.4,Action|Adventure|Drama|Fantasy|War,S.S.Rajamouli,ancient india|dual role|good versus evil|hindu|kingdom,TamannaahBhatia|AnushkaShetty|Prabhas,http://www.imdb.com/title/tt2631186/?ref_=fn_tt_tt_1,Baahubali: The Beginning
56,Amélie ,8.4,Comedy|Romance,Jean-PierreJeunet,cheerfulness|female protagonist|garden gnome|magical realism|waitress,MathieuKassovitz|JamelDebbouze|IsabelleNanty,http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1,Amélie
57,Lawrence of Arabia ,8.4,Adventure|Biography|Drama|History|War,DavidLean,arab|british military|desert|ottoman empire|t.e. lawrence,ClaudeRains|JoséFerrer|JackHawkins,http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,Lawrence of Arabia
58,Rang De Basanti ,8.4,Comedy|Drama|History|Romance,RakeyshOmprakashMehra,freedom|friend|india|student|urination,AnupamKher|StevenMackintosh|Madhavan,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,Rang De Basanti
59,A Separation ,8.4,Drama|Mystery,AsgharFarhadi,alzheimer's disease|caregiver|divorce|iran|iranian,ShahabHosseini|LeilaHatami|PeymanMoaadi,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1,A Separation
60,Requiem for a Dream ,8.4,Drama,DarrenAronofsky,addiction|diet pill|drug addiction|fast motion scene|heroin,EllenBurstyn|MarkMargolis|LouiseLasser,http://www.imdb.com/title/tt0180093/?ref_=fn_tt_tt_1,Requiem for a Dream
61,"Batman: The Dark Knight Returns, Part 2 ",8.4,Action|Animation|Crime|Sci-Fi|Thriller,JayOliva,batman|joker|mutant|tattoo on breast|the joker,MichaelEmerson|MarkValley|GreyGriffin,http://www.imdb.com/title/tt2166834/?ref_=fn_tt_tt_1,"Batman: The Dark Knight Returns, Part 2"
62,Lion of the Desert ,8.4,Biography|Drama|History|War,MoustaphaAkkad,arab|general|libya|muslim|mussolini,OliverReed|RodSteiger|JohnGielgud,http://www.imdb.com/title/tt0081059/?ref_=fn_tt_tt_1,Lion of the Desert
63,Oldboy ,8.4,Drama|Mystery|Thriller,Chan-wookPark,brother sister relationship|hypnosis|imprisonment|love|revenge,Min-sikChoi|Ji-taeYu|Hye-jeongKang,http://www.imdb.com/title/tt0364569/?ref_=fn_tt_tt_1,Oldboy
64,A Charlie Brown Christmas ,8.4,Animation|Comedy|Family,BillMelendez,christmas|christmas tree|commercialism|meaning of christmas|tree,PeterRobbins|BillMelendez|ChristopherShea,http://www.imdb.com/title/tt0059026/?ref_=fn_tt_tt_1,A Charlie Brown Christmas
65,Reservoir Dogs ,8.4,Crime|Drama|Thriller,QuentinTarantino,gang|heist|heist gone wrong|nonlinear timeline|robbery,QuentinTarantino|SteveBuscemi|ChrisPenn,http://www.imdb.com/title/tt0105236/?ref_=fn_tt_tt_1,Reservoir Dogs
66,Braveheart ,8.4,Biography|Drama|History|War,MelGibson,14th century|legend|revolt|scotland|tyranny,MhairiCalvey|PatrickMcGoohan|JamesRobinson,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1,Braveheart
67,To Kill a Mockingbird ,8.4,Crime|Drama,RobertMulligan,1930s|alabama|lawyer|six year old|trial,RobertDuvall|BrockPeters|WilliamWindom,http://www.imdb.com/title/tt0056592/?ref_=fn_tt_tt_1,To Kill a Mockingbird
68,Princess Mononoke ,8.4,Adventure|Animation|Fantasy,HayaoMiyazaki,anime|cult film|forest|princess|studio ghibli,MinnieDriver|JadaPinkettSmith|BillyCrudup,http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1,Princess Mononoke
69,The Shining ,8.4,Drama|Horror,StanleyKubrick,breaking down a door|haunted hotel|identical twins|labyrinth|twin sisters,ScatmanCrothers|ShelleyDuvall|JoeTurkel,http://www.imdb.com/title/tt0081505/?ref_=fn_tt_tt_1,The Shining
70,Star Wars: Episode VI - Return of the Jedi ,8.4,Action|Adventure|Fantasy|Sci-Fi,RichardMarquand,death star|emperor|empire|princess|rebel,HarrisonFord|IanMcDiarmid|KennyBaker,http://www.imdb.com/title/tt0086190/?ref_=fn_tt_tt_1,Star Wars: Episode VI - Return of the Jedi
71,Once Upon a Time in America ,8.4,Crime|Drama,SergioLeone,1920s|ambiguity|childhood friend|new york|speakeasy,RobertDeNiro|BurtYoung|TreatWilliams,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,Once Upon a Time in America
72,Das Boot ,8.4,Adventure|Drama|Thriller|War,WolfgangPetersen,duty|submarine|submarine movie|tension|u boat,JürgenProchnow|MartinSemmelrogge|HerbertGrönemeyer,http://www.imdb.com/title/tt0082096/?ref_=fn_tt_tt_1,Das Boot
73,The Other Dream Team ,8.4,Documentary|Sport,MariusA.Markevicius,basketball|basketball team|grateful dead|lithuanian|olympics,TommySheppard|GregSpeirs|MickeyHart,http://www.imdb.com/title/tt1606829/?ref_=fn_tt_tt_1,The Other Dream Team
74,WALL·E ,8.4,Adventure|Animation|Family|Sci-Fi,AndrewStanton,earth|obesity|plant|robot|soil,JohnRatzenberger|FredWillard|JeffGarlin,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,WALL·E
75,American Beauty ,8.4,Drama,SamMendes,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness,KevinSpacey|PeterGallagher|AraCeli,http://www.imdb.com/title/tt0169547/?ref_=fn_tt_tt_1,American Beauty
76,U2 3D ,8.4,Documentary|Music,CatherineOwens,3d in title|digit in title|rock band|rocker|u2,Bono|TheEdge|LarryMullenJr.,http://www.imdb.com/title/tt0892375/?ref_=fn_tt_tt_1,U2 3D
77,Inglourious Basterds ,8.3,Adventure|Drama|War,QuentinTarantino,france|german|nazis|revenge|scalping,MichaelFassbender|BradPitt|ChristophWaltz,http://www.imdb.com/title/tt0361748/?ref_=fn_tt_tt_1,Inglourious Basterds
78,Inside Job ,8.3,Crime|Documentary,CharlesFerguson,florida|iceland|interview|new york city new york|recession,MattDamon|GeorgeW.Bush|BarneyFrank,http://www.imdb.com/title/tt1645089/?ref_=fn_tt_tt_1,Inside Job
79,Indiana Jones and the Last Crusade ,8.3,Action|Adventure|Fantasy,StevenSpielberg,castle|diary|holy grail|map|nazi,HarrisonFord|JulianGlover|AlisonDoody,http://www.imdb.com/title/tt0097576/?ref_=fn_tt_tt_1,Indiana Jones and the Last Crusade
80,The Great Escape ,8.3,Adventure|Drama|History|Thriller|War,JohnSturges,digging|escape|escape attempt|prisoner|tunnel,JamesCoburn|DonaldPleasence|GordonJackson,http://www.imdb.com/title/tt0057115/?ref_=fn_tt_tt_1,The Great Escape
81,No End in Sight ,8.3,Documentary|War,CharlesFerguson,american politics|iraq|iraq war|occupation|white house,CampbellScott|DickCheney|DonaldRumsfeld,http://www.imdb.com/title/tt0912593/?ref_=fn_tt_tt_1,No End in Sight
82,Batman Begins ,8.3,Action|Adventure,ChristopherNolan,armored car|gangster|gotham|mixed martial arts|social decay,ChristianBale|LiamNeeson|MorganFreeman,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,Batman Begins
83,The Hunt ,8.3,Drama,ThomasVinterberg,deer|gun|gunshot|hunt|kindergarten teacher,ThomasBoLarsen|AlexandraRapaport|HanaShuan,http://www.imdb.com/title/tt2106476/?ref_=fn_tt_tt_1,The Hunt
84,Taxi Driver ,8.3,Crime|Drama,MartinScorsese,loner|neo noir|night shift|taxi driver|vigilante,RobertDeNiro|AlbertBrooks|PeterBoyle,http://www.imdb.com/title/tt0075314/?ref_=fn_tt_tt_1,Taxi Driver
85,Toy Story 3 ,8.3,Adventure|Animation|Comedy|Family|Fantasy,LeeUnkrich,college|day care|escape|teddy bear|toy,TomHanks|JohnRatzenberger|DonRickles,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,Toy Story 3
86,The Apartment ,8.3,Comedy|Drama|Romance,BillyWilder,apartment|elevator|elevator girl|love|mistress,FredMacMurray|RayWalston|DavidWhite,http://www.imdb.com/title/tt0053604/?ref_=fn_tt_tt_1,The Apartment
87,Monty Python and the Holy Grail ,8.3,Adventure|Comedy|Fantasy,TerryGilliam,camelot|holy grail|king arthur|knight|lancelot,EricIdle|MichaelPalin|TerryJones,http://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1,Monty Python and the Holy Grail
88,Metropolis ,8.3,Drama|Sci-Fi,FritzLang,art deco|bible quote|dance|silent film|worker,BrigitteHelm|GustavFröhlich|RudolfKlein-Rogge,http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1,Metropolis
89,Judgment at Nuremberg ,8.3,Drama|War,StanleyKramer,judge|law|nazi|nuremberg|war crime,MaximilianSchell|MontgomeryClift|SpencerTracy,http://www.imdb.com/title/tt0055031/?ref_=fn_tt_tt_1,Judgment at Nuremberg
90,Scarface ,8.3,Crime|Drama,BrianDePalma,assassination attempt|capitalism|cocaine|cuban american|cuban refugee,AlPacino|F.MurrayAbraham|MaryElizabethMastrantonio,http://www.imdb.com/title/tt0086250/?ref_=fn_tt_tt_1,Scarface
91,Raging Bull ,8.3,Biography|Drama|Sport,MartinScorsese,boxing|domestic violence|hot temper|jealousy|rage,RobertDeNiro|CathyMoriarty|FrankVincent,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1,Raging Bull
92,Room ,8.3,Drama,LennyAbrahamson,based on novel|escape|imprisonment|kidnapping|mother son relationship,JoanAllen|JacobTremblay|CasAnvar,http://www.imdb.com/title/tt3170832/?ref_=fn_tt_tt_1,Room
93,Amadeus ,8.3,Biography|Drama|History|Music,MilosForman,1800s|classical composer|composer|first person narration|opera,JeffreyJones|F.MurrayAbraham|TomHulce,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,Amadeus
94,Some Like It Hot ,8.3,Comedy|Music|Romance,BillyWilder,all girl band|band|cross dressing|musician|yacht,NehemiahPersoff|JoeE.Brown|GeorgeRaft,http://www.imdb.com/title/tt0053291/?ref_=fn_tt_tt_1,Some Like It Hot
95,Downfall ,8.3,Biography|Drama|History|War,OliverHirschbiegel,bunker|hitler|nazi|no exit|war ruins,ThomasKretschmann|BrunoGanz|AlexandraMariaLara,http://www.imdb.com/title/tt0363163/?ref_=fn_tt_tt_1,Downfall
96,Singin' in the Rain ,8.3,Comedy|Musical|Romance,StanleyDonen,actress|chorus girl|fan|friend|love,RitaMoreno|DebbieReynolds|CydCharisse,http://www.imdb.com/title/tt0045152/?ref_=fn_tt_tt_1,Singin' in the Rain
97,Unforgiven ,8.3,Drama|Western,ClintEastwood,englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave,ClintEastwood|MorganFreeman|FrancesFisher,http://www.imdb.com/title/tt0105695/?ref_=fn_tt_tt_1,Unforgiven
98,Snatch ,8.3,Comedy|Crime,GuyRitchie,boxer|boxing|diamond|fight|gypsy,JasonStatham|BradPitt|JasonFlemyng,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,Snatch
99,Lake of Fire ,8.3,Documentary,TonyKaye,abortion|southern accent|title based on the bible|trial|usa,NoamChomsky|PatBuchanan|BillBaird,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,Lake of Fire
100,Inside Out ,8.3,Adventure|Animation|Comedy|Drama|Family|Fantasy,PeteDocter,anger|joy|memory|running away|sadness,AmyPoehler|MindyKaling|PhyllisSmith,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,Inside Out
101,L.A. Confidential ,8.3,Crime|Drama|Mystery|Thriller,CurtisHanson,1950s|call girl|corruption|murder|police detective,KevinSpacey|MattMcCoy|PaulGuilfoyle,http://www.imdb.com/title/tt0119488/?ref_=fn_tt_tt_1,L.A. Confidential
102,Snatch ,8.3,Comedy|Crime,GuyRitchie,boxer|boxing|diamond|fight|gypsy,JasonStatham|BradPitt|JasonFlemyng,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,Snatch
103,The Sting ,8.3,Comedy|Crime|Drama,GeorgeRoyHill,con|con man|courier|long con|murder,EileenBrennan|RobertShaw|RayWalston,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,The Sting
104,Good Will Hunting ,8.3,Drama,GusVanSant,friend|genius|janitor|loss of wife|professor,RobinWilliams|MattDamon|MinnieDriver,http://www.imdb.com/title/tt0119217/?ref_=fn_tt_tt_1,Good Will Hunting
105,2001: A Space Odyssey ,8.3,Adventure|Mystery|Sci-Fi,StanleyKubrick,ancient astronaut|famous line|message from outer space|monolith|star child,KeirDullea|GaryLockwood|GlennBeck,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,2001: A Space Odyssey
106,The Big Parade ,8.3,Drama|Romance|War,KingVidor,chewing gum|climbing a tree|france|translation problems|world war one,JohnGilbert|RenéeAdorée|ClaireAdams,http://www.imdb.com/title/tt0015624/?ref_=fn_tt_tt_1,The Big Parade
107,Toy Story ,8.3,Adventure|Animation|Comedy|Family|Fantasy,JohnLasseter,claw crane|cowboy|jealousy|rivalry|toy,TomHanks|JohnRatzenberger|JimVarney,http://www.imdb.com/title/tt0114709/?ref_=fn_tt_tt_1,Toy Story
108,Hoop Dreams ,8.3,Documentary|Drama|Sport,SteveJames,athlete|basketball|high school|high school student|school,WilliamGates|ArthurAgee|IsiahThomas,http://www.imdb.com/title/tt0110057/?ref_=fn_tt_tt_1,Hoop Dreams
